Year,Temperature (Degree in celsius),Carbon Dioxide (Parts Per Million),Emissions from Fossil Fuel Burning (Million Tonnes of Carbon),Population_Density
2003,14.48,375.8,7397,319.29
2004,14.44,377.5,7782,323.97
2005,14.52,379.78,8086,328.59
2006,14.46,381.86,8350,333.18
2007,14.45,383.72,8543,343.68
2008,14.38,385.57,8749,349.19
2009,14.46,387.36,8738,354.73
2010,14.52,389.78,9167,356.86
2011,14.41,390.5,9460,361.75
2012,14.47,392.6,9666,366.59
2013,14.52,395.4,NA,371.37
